year,company_name,ticker,country_iso3,geo_code_type,country_code_review_flag,segment,value_chain_group,analysis_period,source_validation_caution,first_observed_year,years_since_first_observation,revenue_usd_bn,operating_margin_pct,operating_income_usd_bn,rd_spend_usd_bn,capex_usd_bn,calculated_operating_income_usd_bn,operating_income_abs_diff_usd_bn,operating_income_review_flag,rd_intensity_pct,capex_intensity_pct,zero_revenue_flag,previous_year,previous_revenue_usd_bn,previous_operating_income_usd_bn,consecutive_year_flag,revenue_growth_pct,absolute_revenue_change_usd_bn,operating_income_growth_pct,rd_to_operating_income_pct,capex_to_operating_income_pct,revenue_share_within_dataset_pct,revenue_rank_within_year,value_chain_revenue_usd_bn,value_chain_revenue_share_pct,growth_calculation_available,investment_ratio_available
2020,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,10,9.83,20.7,2.03,1.97,0.98,2.03481,0.0048099999999999,False,20.040691759918616,9.969481180061038,False,2019,8.19,1.37,True,20.024420024420042,1.6400000000000006,48.17518248175179,97.04433497536947,48.275862068965516,1.9515972125712242,17,99.9,19.833627826639404,True,True
2021,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,11,18.01,25.6,4.62,3.6,1.8,4.61056,0.0094399999999996,False,19.988895058300944,9.994447529150472,False,2020,9.83,2.03,True,83.21464903357072,8.180000000000001,127.58620689655173,77.92207792207793,38.961038961038966,2.9865844153690535,11,127.36,21.12001061307066,True,True
2022,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Transition Year,False,2010,12,23.0,19.1,4.4,4.6,2.3,4.393,0.0070000000000005,False,20.0,10.0,False,2021,18.01,4.62,True,27.706829539144916,4.989999999999998,-4.761904761904756,104.54545454545452,52.27272727272726,3.29768015370057,11,154.83,22.19912253032432,True,True
2023,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,AI expansion,False,2010,13,21.72,18.2,3.96,4.34,2.17,3.95304,0.0069600000000002,False,19.98158379373849,9.990791896869244,False,2022,23.0,4.4,True,-5.565217391304356,-1.2800000000000011,-10.000000000000009,109.5959595959596,54.7979797979798,3.319324520516543,10,177.4,27.1108733858027,True,True
2024,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,AI expansion,False,2010,14,26.05,23.6,6.15,5.21,2.6,6.147800000000001,0.0021999999999993,False,20.0,9.980806142034549,False,2023,21.72,3.96,True,19.935543278084733,4.330000000000002,55.30303030303032,84.71544715447153,42.27642276422764,3.144198621621948,10,284.01,34.27961038490784,True,True
2025,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,AI expansion,True,2010,15,33.17,18.0,5.98,6.63,3.32,5.970600000000001,0.0093999999999994,False,19.98794091046126,10.009044317154054,False,2024,26.05,6.15,True,27.332053742802298,7.120000000000001,-2.764227642276418,110.86956521739128,55.51839464882943,3.2905440260307133,10,371.74,36.87750486091822,True,True
2026,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,AI expansion,True,2010,16,39.38,19.5,7.68,7.88,3.94,7.679100000000001,0.0008999999999987,False,20.010157440325035,10.005078720162516,False,2025,33.17,5.98,True,18.72173650889357,6.210000000000001,28.428093645484932,102.60416666666667,51.302083333333336,3.422175488602887,9,455.02000000000004,39.5418560392099,True,True
2010,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,0,6.65,37.7,2.51,1.06,0.4,2.5070500000000004,0.0029499999999993,False,15.939849624060152,6.015037593984962,False,,,,False,,,,42.23107569721116,15.936254980079683,2.8297872340425534,12,29.060000000000002,12.365957446808512,False,True
2011,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,1,6.44,35.7,2.3,1.03,0.39,2.2990800000000005,0.0009199999999993,False,15.993788819875776,6.055900621118012,False,2010,6.65,2.51,True,-3.157894736842104,-0.20999999999999996,-8.366533864541836,44.78260869565218,16.956521739130437,2.578062449959968,11,29.450000000000003,11.789431545236189,True,True
2012,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,2,6.59,34.4,2.27,1.05,0.4,2.26696,0.0030399999999999,False,15.933232169954476,6.0698027314112295,False,2011,6.44,2.3,True,2.329192546583836,0.14999999999999947,-1.304347826086949,46.25550660792952,17.62114537444934,2.471219109761128,11,29.73,11.14861064236697,True,True
2013,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,3,6.51,34.5,2.25,1.04,0.39,2.24595,0.0040499999999998,False,15.975422427035332,5.990783410138249,False,2012,6.59,2.27,True,-1.2139605462822445,-0.08000000000000007,-0.8810572687224627,46.22222222222223,17.333333333333336,2.2904792062486807,11,30.119999999999997,10.597424530293436,True,True
2014,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,4,6.71,31.2,2.1,1.07,0.4,2.09352,0.0064800000000002,False,15.94634873323398,5.961251862891208,False,2013,6.51,2.25,True,3.0721966205837115,0.20000000000000018,-6.666666666666665,50.95238095238095,19.047619047619047,2.291901492639273,11,30.520000000000003,10.424565358472524,True,True
2015,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,5,7.11,36.2,2.57,1.14,0.43,2.57382,0.0038200000000001,False,16.0337552742616,6.047819971870604,False,2014,6.71,2.1,True,5.961251862891204,0.40000000000000036,22.38095238095237,44.3579766536965,16.731517509727627,2.2823574730354395,9,31.93,10.24974319465845,True,True
2016,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,6,8.21,34.6,2.84,1.31,0.49,2.84066,0.0006600000000003,False,15.956151035322778,5.968331303288672,False,2015,7.11,2.57,True,15.47116736990155,1.1000000000000005,10.505836575875493,46.12676056338029,17.253521126760564,2.223305440463618,11,40.64,11.005497332575082,True,True
2017,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,7,10.65,38.2,4.06,1.7,0.64,4.068300000000001,0.008300000000001,False,15.96244131455399,6.009389671361502,False,2016,8.21,2.84,True,29.719853836784395,2.4399999999999995,42.957746478873226,41.871921182266014,15.763546798029559,2.474729871035204,10,50.03,11.62542116881608,True,True
2018,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,8,12.38,35.1,4.35,1.98,0.74,4.3453800000000005,0.0046199999999991,False,15.993537964458804,5.977382875605816,False,2017,10.65,4.06,True,16.24413145539907,1.7300000000000004,7.14285714285714,45.51724137931035,17.011494252873565,2.5997480050398996,10,57.620000000000005,12.099958000839985,True,True
2019,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,9,13.65,31.7,4.33,2.18,0.82,4.32705,0.0029500000000002,False,15.970695970695973,6.007326007326006,False,2018,12.38,4.35,True,10.258481421647826,1.2699999999999996,-0.45977011494251485,50.34642032332564,18.937644341801384,2.7572972427027573,10,59.07,11.932128067871933,True,True
2020,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,10,16.17,36.1,5.84,2.59,0.97,5.837370000000001,0.002629999999999,False,16.017316017316013,5.998763141620284,False,2019,13.65,4.33,True,18.461538461538463,2.5200000000000014,34.872979214780585,44.34931506849315,16.60958904109589,3.2103079274950868,10,63.11,12.529532053445571,True,True
2021,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,11,20.79,38.3,7.96,3.33,1.25,7.962569999999999,0.0025699999999995,False,16.01731601731602,6.012506012506013,False,2020,16.17,5.84,True,28.57142857142856,4.619999999999997,36.30136986301371,41.834170854271356,15.7035175879397,3.447589672155614,10,81.85,13.573122398553968,True,True
2022,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Transition Year,False,2010,12,23.9,31.3,7.47,3.82,1.43,7.4807,0.0106999999999999,False,15.983263598326362,5.98326359832636,False,2021,20.79,7.96,True,14.959114959114949,3.1099999999999994,-6.1557788944723635,51.137884872824635,19.143239625167336,3.4267198118888538,10,97.25999999999999,13.944885728213801,True,True
2023,ASML,ASML,NLD,country,False,equipment_litho,Equipment,AI expansion,False,2010,13,30.31,35.7,10.81,4.85,1.82,10.82067,0.0106699999999992,False,16.001319696469814,6.004618937644342,False,2022,23.9,7.47,True,26.820083682008367,6.41,44.712182061579654,44.865864939870484,16.836262719703978,4.632077634293574,7,104.75,16.00825246427753,True,True
2024,ASML,ASML,NLD,country,False,equipment_litho,Equipment,AI expansion,False,2010,14,31.81,33.3,10.58,5.09,1.91,10.59273,0.0127299999999994,False,16.001257466205594,6.004401131719585,False,2023,30.31,10.81,True,4.948861761794787,1.5,-2.127659574468088,48.109640831758036,18.052930056710775,3.839422577880774,8,101.83,12.290738796152128,True,True
2025,ASML,ASML,NLD,country,False,equipment_litho,Equipment,AI expansion,True,2010,15,38.79,33.5,12.99,6.21,2.33,12.99465,0.0046499999999998,False,16.009280742459396,6.006702758442898,False,2024,31.81,10.58,True,21.942785287645393,6.98,22.778827977315697,47.80600461893764,17.936874518860662,3.848061584857744,8,121.27,12.030276576326337,True,True
2026,ASML,ASML,NLD,country,False,equipment_litho,Equipment,AI expansion,True,2010,16,44.16,35.9,15.87,7.07,2.65,15.85344,0.0165600000000001,False,16.009963768115945,6.000905797101449,False,2025,38.79,12.99,True,13.843774168600142,5.369999999999997,22.170900692840647,44.54946439823566,16.698172652804033,3.837563981125024,8,130.6,11.349317389830803,True,True
2010,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,0,2.88,44.5,1.28,0.35,0.35,1.2816,0.0016,False,12.152777777777777,12.152777777777777,False,,,,False,,,,27.34375,27.34375,1.225531914893617,23,145.92,62.09361702127659,False,True
2011,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,1,3.02,42.0,1.27,0.36,0.36,1.2684,0.0016,False,11.920529801324504,11.920529801324504,False,2010,2.88,1.28,True,4.861111111111116,0.14000000000000012,-0.78125,28.346456692913385,28.346456692913385,1.208967173738991,24,151.0,60.448358686949554,True,True
2012,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,2,3.17,47.0,1.49,0.38,0.38,1.4899,9.9999999999989e-05,False,11.987381703470032,11.987381703470032,False,2011,3.02,1.27,True,4.966887417218535,0.1499999999999999,17.322834645669282,25.503355704697988,25.503355704697988,1.1887351408107398,24,161.35,60.50549368132898,True,True
2013,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,3,3.24,46.7,1.51,0.39,0.39,1.5130800000000002,0.0030800000000001,False,12.037037037037036,12.037037037037036,False,2012,3.17,1.49,True,2.208201892744488,0.07000000000000028,1.342281879194629,25.82781456953642,25.82781456953642,1.1399620012666245,22,165.43,58.204911688128924,True,True
2014,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,4,3.33,51.1,1.7,0.4,0.4,1.7016300000000002,0.0016300000000002,False,12.012012012012011,12.012012012012011,False,2013,3.24,1.51,True,2.777777777777768,0.08999999999999986,12.58278145695364,23.529411764705884,23.529411764705884,1.1374116200430373,24,168.2,57.45124158896062,True,True
2015,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,5,3.39,44.1,1.49,0.41,0.41,1.4949900000000005,0.0049900000000002,False,12.094395280235986,12.094395280235986,False,2014,3.33,1.7,True,1.8018018018018056,0.06000000000000005,-12.352941176470589,27.516778523489933,27.516778523489933,1.0882126348228045,25,172.79,55.46674370826913,True,True
2016,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,6,4.24,41.9,1.78,0.51,0.51,1.77656,0.0034399999999998,False,12.028301886792454,12.028301886792454,False,2015,3.39,1.49,True,25.073746312684374,0.8500000000000001,19.463087248322154,28.651685393258425,28.651685393258425,1.1482113358788963,25,211.93,57.3916104747204,True,True
2017,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,7,5.07,42.3,2.15,0.61,0.61,2.14461,0.0053900000000002,False,12.031558185404338,12.031558185404338,False,2016,4.24,1.78,True,19.5754716981132,0.8300000000000001,20.78651685393258,28.37209302325581,28.37209302325581,1.1781108400139422,24,247.23000000000002,57.448588358313,True,True
2018,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,8,6.19,46.0,2.85,0.74,0.74,2.8474,0.0026000000000001,False,11.954765751211632,11.954765751211632,False,2017,5.07,2.15,True,22.090729783037478,1.12,32.558139534883736,25.964912280701753,25.964912280701753,1.2998740025199498,22,274.37,57.616547669046625,True,True
2019,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,9,5.91,42.7,2.52,0.71,0.71,2.5235700000000003,0.0035700000000002,False,12.013536379018612,12.013536379018612,False,2018,6.19,2.85,True,-4.523424878836835,-0.28000000000000025,-11.578947368421055,28.174603174603174,28.174603174603174,1.1938188061811938,22,273.07,55.16008483991516,True,True
2020,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,10,5.75,47.2,2.72,0.69,0.69,2.7140000000000004,0.0059999999999997,False,12.0,12.0,False,2019,5.91,2.52,True,-2.7072758037225086,-0.16000000000000014,7.936507936507953,25.36764705882353,25.36764705882353,1.1415751752069725,22,258.64,51.349044054875016,True,True
2021,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,11,8.76,43.0,3.77,1.05,1.05,3.7668,0.0032,False,11.986301369863014,11.986301369863014,False,2020,5.75,2.72,True,52.347826086956516,3.01,38.60294117647059,27.851458885941643,27.851458885941643,1.4526640465648475,20,285.09999999999997,47.27791320498151,True,True
2022,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Transition Year,False,2010,12,12.2,45.6,5.56,1.46,1.46,5.563199999999999,0.0031999999999996,False,11.9672131147541,11.9672131147541,False,2021,8.76,3.77,True,39.26940639269405,3.4399999999999995,47.48010610079574,26.258992805755398,26.258992805755398,1.749204255441172,20,317.07,45.46067157973217,True,True
2023,Analog Devices,ADI,USA,country,False,idm_analog,IDM,AI expansion,False,2010,13,11.78,44.8,5.28,1.41,1.41,5.27744,0.0025600000000007,False,11.96943972835314,11.96943972835314,False,2022,12.2,5.56,True,-3.4426229508196737,-0.41999999999999993,-5.035971223021574,26.704545454545453,26.704545454545453,1.8002597998013297,20,256.74,39.235882937265984,True,True
2024,Analog Devices,ADI,USA,country,False,idm_analog,IDM,AI expansion,False,2010,14,9.47,42.3,4.01,1.14,1.14,4.00581,0.0041899999999994,False,12.038014783526926,12.038014783526926,False,2023,11.78,5.28,True,-19.609507640067903,-2.3099999999999987,-24.053030303030308,28.428927680798004,28.428927680798004,1.1430157753074799,21,301.22,36.35683335143813,True,True
2025,Analog Devices,ADI,USA,country,False,idm_analog,IDM,AI expansion,True,2010,15,11.01,40.6,4.48,1.32,1.32,4.47006,0.0099400000000002,False,11.989100817438691,11.989100817438691,False,2024,9.47,4.01,True,16.26187961985215,1.5399999999999991,11.720698254364104,29.464285714285715,29.464285714285715,1.0922185627554462,21,346.83,34.40637276298559,True,True
2026,Analog Devices,ADI,USA,country,False,idm_analog,IDM,AI expansion,True,2010,16,13.01,48.7,6.34,1.56,1.56,6.33587,0.0041299999999999,False,11.990776325903152,11.990776325903152,False,2025,11.01,4.48,True,18.165304268846505,2.0,41.51785714285712,24.60567823343849,24.60567823343849,1.1305866710696688,21,387.14,33.642991839962455,True,True
2010,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,0,9.39,30.7,2.88,1.13,0.94,2.8827300000000005,0.0027300000000005,False,12.034078807241745,10.010649627263044,False,,,,False,,,,39.23611111111111,32.63888888888889,3.995744680851064,9,29.060000000000002,12.365957446808512,False,True
2011,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,1,9.56,26.6,2.54,1.15,0.96,2.5429600000000003,0.0029600000000002,False,12.029288702928868,10.041841004184098,False,2010,9.39,2.88,True,1.8104366347177825,0.16999999999999993,-11.805555555555546,45.2755905511811,37.79527559055118,3.8270616493194556,9,29.450000000000003,11.789431545236189,True,True
2012,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,2,9.32,34.3,3.2,1.12,0.93,3.19676,0.0032400000000003,False,12.01716738197425,9.97854077253219,False,2011,9.56,2.54,True,-2.5104602510460317,-0.2400000000000002,25.984251968503933,35.0,29.062500000000004,3.4949563130460866,9,29.73,11.14861064236697,True,True
2013,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,3,9.12,23.7,2.16,1.09,0.91,2.16144,0.0014399999999996,False,11.951754385964914,9.978070175438598,False,2012,9.32,3.2,True,-2.145922746781126,-0.20000000000000107,-32.49999999999999,50.46296296296296,42.129629629629626,3.2087819294912387,9,30.119999999999997,10.597424530293436,True,True
2014,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,4,8.91,30.1,2.68,1.07,0.89,2.68191,0.00191,False,12.008978675645343,9.988776655443322,False,2013,9.12,2.16,True,-2.302631578947356,-0.20999999999999908,24.07407407407407,39.92537313432835,33.208955223880594,3.043344604980019,8,30.520000000000003,10.424565358472524,True,True
2015,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,5,9.41,29.6,2.79,1.13,0.94,2.78536,0.0046400000000001,False,12.008501594048884,9.989373007438894,False,2014,8.91,2.68,True,5.611672278338942,0.5,4.104477611940283,40.501792114695334,33.69175627240143,3.020672829994864,8,31.93,10.24974319465845,True,True
2016,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,6,12.27,22.0,2.7,1.47,1.23,2.6994,0.0006000000000003,False,11.98044009779951,10.024449877750612,False,2015,9.41,2.79,True,30.393198724760893,2.8599999999999994,-3.2258064516129004,54.44444444444444,45.55555555555555,3.32277195547973,8,40.64,11.005497332575082,True,True
2017,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,7,14.44,34.7,5.01,1.73,1.44,5.010680000000001,0.0006800000000009,False,11.98060941828255,9.97229916897507,False,2016,12.27,2.7,True,17.685411572942144,2.17,85.55555555555554,34.5309381237525,28.74251497005988,3.355408388520971,9,50.03,11.62542116881608,True,True
2018,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,8,16.14,28.9,4.66,1.94,1.61,4.66446,0.0044599999999999,False,12.01982651796778,9.975216852540273,False,2017,14.44,5.01,True,11.772853185595578,1.700000000000001,-6.986027944111772,41.63090128755365,34.54935622317596,3.3893322133557326,9,57.620000000000005,12.099958000839985,True,True
2019,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,9,16.57,27.3,4.53,1.99,1.66,4.523610000000001,0.0063899999999996,False,12.009656004828004,10.018105009052505,False,2018,16.14,4.66,True,2.664188351920682,0.4299999999999997,-2.7896995708154515,43.92935982339956,36.64459161147903,3.3471366528633473,8,59.07,11.932128067871933,True,True
2020,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,10,17.03,34.3,5.84,2.04,1.7,5.84129,0.00129,False,11.978860833822663,9.982384028185551,False,2019,16.57,4.53,True,2.776101388050689,0.46000000000000085,28.91832229580573,34.93150684931507,29.10958904109589,3.3810478667434336,9,63.11,12.529532053445571,True,True
2021,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,11,22.72,29.0,6.59,2.73,2.27,6.5888,0.0011999999999998,False,12.015845070422536,9.991197183098592,False,2020,17.03,5.84,True,33.41162654139751,5.689999999999998,12.842465753424648,41.426403641881635,34.44613050075873,3.7676400842412487,8,81.85,13.573122398553968,True,True
2022,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Transition Year,False,2010,12,27.32,30.1,8.22,3.28,2.73,8.22332,0.0033199999999986,False,12.005856515373353,9.99267935578331,False,2021,22.72,6.59,True,20.246478873239447,4.600000000000001,24.734446130500775,39.90267639902676,33.21167883211679,3.9170705130043295,8,97.25999999999999,13.944885728213801,True,True
2023,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,AI expansion,False,2010,13,27.93,29.7,8.3,3.35,2.79,8.295209999999999,0.0047900000000016,False,11.994271392767637,9.989258861439312,False,2022,27.32,8.22,True,2.2327964860907823,0.6099999999999994,0.9732360097323589,40.361445783132524,33.6144578313253,4.268357912432184,8,104.75,16.00825246427753,True,True
2024,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,AI expansion,False,2010,14,27.31,31.1,8.49,3.28,2.73,8.49341,0.0034100000000005,False,12.010252654705235,9.996338337605271,False,2023,27.93,8.3,True,-2.2198353025420725,-0.620000000000001,2.289156626506017,38.63368669022379,32.15547703180212,3.296278862053566,9,101.83,12.290738796152128,True,True
2025,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,AI expansion,True,2010,15,33.11,32.6,10.78,3.97,3.31,10.79386,0.013860000000001,False,11.9903352461492,9.996979764421624,False,2024,27.31,8.49,True,21.23764188941779,5.800000000000001,26.972909305064775,36.827458256029686,30.70500927643785,3.2845918812745527,11,121.27,12.030276576326337,True,True
2026,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,AI expansion,True,2010,16,32.31,32.9,10.63,3.88,3.23,10.62999,1.000000000139778e-05,False,12.00866604766326,9.996904982977403,False,2025,33.11,10.78,True,-2.4161884627000862,-0.7999999999999972,-1.3914656771799483,36.50047036688617,30.38570084666039,2.807782885646503,11,130.6,11.349317389830803,True,True
2010,Broadcom,AVGO,USA,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,0,2.99,36.3,1.09,0.36,0.3,1.0853700000000002,0.0046299999999999,False,12.040133779264211,10.03344481605351,False,,,,False,,,,33.027522935779814,27.52293577981651,1.272340425531915,22,31.060000000000002,13.217021276595744,False,True
2011,Broadcom,AVGO,USA,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,1,3.94,31.2,1.23,0.47,0.39,1.22928,0.00072,False,11.928934010152284,9.898477157360407,False,2010,2.99,1.09,True,31.7725752508361,0.9499999999999997,12.844036697247695,38.21138211382114,31.70731707317073,1.577261809447558,18,36.25,14.511609287429945,True,True
2012,Broadcom,AVGO,USA,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,2,4.42,26.7,1.18,0.53,0.44,1.18014,0.00014,False,11.990950226244344,9.95475113122172,False,2011,3.94,1.23,True,12.182741116751261,0.48,-4.0650406504065035,44.91525423728814,37.28813559322034,1.657479281508981,17,39.980000000000004,14.99231259609255,True,True
2013,Broadcom,AVGO,USA,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,3,5.47,30.8,1.68,0.66,0.55,1.68476,0.00476,False,12.06581352833638,10.054844606946984,False,2012,4.42,1.18,True,23.75565610859729,1.0499999999999998,42.3728813559322,39.28571428571429,32.73809523809524,1.9245654774470482,15,47.26,16.627964253043416,True,True
