year,company_name,ticker,country_iso3,geo_code_type,country_code_review_flag,segment,analysis_period,source_validation_caution,revenue_usd_bn,operating_margin_pct,operating_income_usd_bn,rd_spend_usd_bn,capex_usd_bn,calculated_operating_income_usd_bn,operating_income_abs_diff_usd_bn,operating_income_review_flag,rd_intensity_pct,capex_intensity_pct,zero_revenue_flag
2023,SMIC,981,CHN,country,False,foundry,AI expansion,False,6.72,37.5,2.52,0.54,3.02,2.52,0.0,False,8.035714285714286,44.94047619047619,False
2024,SMIC,981,CHN,country,False,foundry,AI expansion,False,8.2,37.3,3.06,0.66,3.69,3.0585999999999998,0.00140000000000029,False,8.04878048780488,45.0,False
2025,SMIC,981,CHN,country,False,foundry,AI expansion,True,10.28,41.2,4.23,0.82,4.63,4.23536,0.005359999999999587,False,7.976653696498054,45.038910505836576,False
2026,SMIC,981,CHN,country,False,foundry,AI expansion,True,11.94,39.9,4.76,0.96,5.37,4.76406,0.0040599999999999525,False,8.040201005025125,44.9748743718593,False
2010,NVIDIA,NVDA,USA,country,False,fabless_gpu,Smart automobile expansion,False,3.43,56.3,1.93,0.86,0.07,1.9310900000000002,0.0010900000000002574,False,25.07288629737609,2.0408163265306123,False
2011,NVIDIA,NVDA,USA,country,False,fabless_gpu,Smart automobile expansion,False,3.75,51.3,1.92,0.94,0.07,1.92375,0.003750000000000142,False,25.066666666666666,1.866666666666667,False
2012,NVIDIA,NVDA,USA,country,False,fabless_gpu,Smart automobile expansion,False,3.95,55.5,2.19,0.99,0.08,2.19225,0.0022500000000000853,False,25.063291139240505,2.0253164556962027,False
2013,NVIDIA,NVDA,USA,country,False,fabless_gpu,Smart automobile expansion,False,4.61,55.5,2.56,1.15,0.09,2.5585500000000003,0.0014499999999997293,False,24.945770065075916,1.952277657266811,False
2014,NVIDIA,NVDA,USA,country,False,fabless_gpu,Smart automobile expansion,False,4.68,55.9,2.62,1.17,0.09,2.6161199999999996,0.0038800000000005497,False,25.0,1.9230769230769231,False
2015,NVIDIA,NVDA,USA,country,False,fabless_gpu,Smart automobile expansion,False,5.2,55.7,2.89,1.3,0.1,2.8964000000000003,0.006400000000000183,False,25.0,1.9230769230769231,False
2016,NVIDIA,NVDA,USA,country,False,fabless_gpu,Smart automobile expansion,False,6.49,58.3,3.78,1.62,0.13,3.7836700000000003,0.003670000000000506,False,24.961479198767336,2.0030816640986133,False
2017,NVIDIA,NVDA,USA,country,False,fabless_gpu,Smart automobile expansion,False,8.24,59.6,4.91,2.06,0.16,4.911040000000001,0.001040000000000596,False,25.0,1.9417475728155338,False
2018,NVIDIA,NVDA,USA,country,False,fabless_gpu,Smart automobile expansion,False,9.75,51.3,5.01,2.44,0.2,5.0017499999999995,0.008250000000000313,False,25.025641025641026,2.051282051282051,False
2019,NVIDIA,NVDA,USA,country,False,fabless_gpu,Smart automobile expansion,False,12.67,60.0,7.6,3.17,0.25,7.602,0.002000000000000668,False,25.0197316495659,1.973164956590371,False
2020,NVIDIA,NVDA,USA,country,False,fabless_gpu,Smart automobile expansion,False,17.59,54.5,9.58,4.4,0.35,9.586549999999999,0.0065499999999989456,False,25.01421262080728,1.9897669130187607,False
2021,NVIDIA,NVDA,USA,country,False,fabless_gpu,Smart automobile expansion,False,21.6,59.4,12.83,5.4,0.43,12.8304,0.00039999999999906777,False,25.0,1.9907407407407405,False
2022,NVIDIA,NVDA,USA,country,False,fabless_gpu,Transition Year,False,26.12,52.3,13.66,6.53,0.52,13.66076,0.0007599999999996498,False,25.0,1.9908116385911179,False
2023,NVIDIA,NVDA,USA,country,False,fabless_gpu,AI expansion,False,62.09,58.8,36.52,15.52,1.24,36.508919999999996,0.011080000000006862,False,24.99597358672894,1.9971009824448378,False
2024,NVIDIA,NVDA,USA,country,False,fabless_gpu,AI expansion,False,130.48,59.5,77.65,32.62,2.61,77.6356,0.014400000000009072,False,25.0,2.0003065603923975,False
2025,NVIDIA,NVDA,USA,country,False,fabless_gpu,AI expansion,True,192.19,64.2,123.43,48.05,3.84,123.38598,0.04402000000000328,True,25.001300796087207,1.9980227899474476,False
2026,NVIDIA,NVDA,USA,country,False,fabless_gpu,AI expansion,True,250.68,61.9,155.25,62.67,5.01,155.17092,0.0790800000000047,True,25.0,1.9985639061752034,False
2010,AMD,AMD,USA,country,False,fabless_cpu_gpu,Smart automobile expansion,False,6.11,19.9,1.21,1.22,0.61,1.21589,0.005889999999999951,False,19.96726677577741,9.983633387888705,False
2011,AMD,AMD,USA,country,False,fabless_cpu_gpu,Smart automobile expansion,False,5.85,16.3,0.96,1.17,0.59,0.95355,0.006449999999999956,False,20.0,10.085470085470085,False
2012,AMD,AMD,USA,country,False,fabless_cpu_gpu,Smart automobile expansion,False,5.36,19.0,1.02,1.07,0.54,1.0184,0.0016000000000000458,False,19.962686567164177,10.074626865671641,False
2013,AMD,AMD,USA,country,False,fabless_cpu_gpu,Smart automobile expansion,False,5.14,16.0,0.82,1.03,0.51,0.8223999999999999,0.0023999999999999577,False,20.038910505836576,9.922178988326849,False
2014,AMD,AMD,USA,country,False,fabless_cpu_gpu,Smart automobile expansion,False,4.5,18.5,0.84,0.9,0.45,0.8325,0.007499999999999951,False,20.0,10.0,False
2015,AMD,AMD,USA,country,False,fabless_cpu_gpu,Smart automobile expansion,False,3.96,23.0,0.91,0.79,0.4,0.9107999999999999,0.0007999999999999119,False,19.94949494949495,10.101010101010102,False
2016,AMD,AMD,USA,country,False,fabless_cpu_gpu,Smart automobile expansion,False,4.91,24.0,1.18,0.98,0.49,1.1784000000000001,0.0015999999999998238,False,19.959266802443988,9.979633401221994,False
2017,AMD,AMD,USA,country,False,fabless_cpu_gpu,Smart automobile expansion,False,5.64,17.9,1.01,1.13,0.56,1.0095599999999998,0.000440000000000218,False,20.0354609929078,9.929078014184398,False
2018,AMD,AMD,USA,country,False,fabless_cpu_gpu,Smart automobile expansion,False,6.46,20.7,1.34,1.29,0.65,1.33722,0.0027800000000000047,False,19.96904024767802,10.061919504643964,False
2019,AMD,AMD,USA,country,False,fabless_cpu_gpu,Smart automobile expansion,False,8.19,16.7,1.37,1.64,0.82,1.36773,0.0022700000000002163,False,20.024420024420024,10.012210012210012,False
2020,AMD,AMD,USA,country,False,fabless_cpu_gpu,Smart automobile expansion,False,9.83,20.7,2.03,1.97,0.98,2.03481,0.004809999999999981,False,20.040691759918616,9.969481180061038,False
2021,AMD,AMD,USA,country,False,fabless_cpu_gpu,Smart automobile expansion,False,18.01,25.6,4.62,3.6,1.8,4.61056,0.009439999999999671,False,19.988895058300944,9.994447529150472,False
2022,AMD,AMD,USA,country,False,fabless_cpu_gpu,Transition Year,False,23.0,19.1,4.4,4.6,2.3,4.393,0.007000000000000561,False,20.0,10.0,False
2023,AMD,AMD,USA,country,False,fabless_cpu_gpu,AI expansion,False,21.72,18.2,3.96,4.34,2.17,3.9530399999999997,0.006960000000000299,False,19.98158379373849,9.990791896869245,False
2024,AMD,AMD,USA,country,False,fabless_cpu_gpu,AI expansion,False,26.05,23.6,6.15,5.21,2.6,6.147800000000001,0.0021999999999993136,False,20.0,9.980806142034549,False
2025,AMD,AMD,USA,country,False,fabless_cpu_gpu,AI expansion,True,33.17,18.0,5.98,6.63,3.32,5.970600000000001,0.009399999999999409,False,19.98794091046126,10.009044317154054,False
2026,AMD,AMD,USA,country,False,fabless_cpu_gpu,AI expansion,True,39.38,19.5,7.68,7.88,3.94,7.679100000000001,0.0008999999999987907,False,20.010157440325035,10.005078720162517,False
2010,Qualcomm,QCOM,USA,country,False,fabless_mobile,Smart automobile expansion,False,10.65,28.4,3.03,1.28,1.07,3.0246,0.005399999999999849,False,12.018779342723004,10.046948356807512,False
2011,Qualcomm,QCOM,USA,country,False,fabless_mobile,Smart automobile expansion,False,13.44,29.7,3.99,1.61,1.34,3.9916799999999997,0.0016799999999994597,False,11.979166666666668,9.970238095238097,False
2012,Qualcomm,QCOM,USA,country,False,fabless_mobile,Smart automobile expansion,False,15.75,25.6,4.03,1.89,1.57,4.032,0.0019999999999997797,False,12.0,9.968253968253968,False
2013,Qualcomm,QCOM,USA,country,False,fabless_mobile,Smart automobile expansion,False,20.68,26.1,5.41,2.48,2.07,5.397480000000001,0.01251999999999942,False,11.992263056092844,10.009671179883945,False
2014,Qualcomm,QCOM,USA,country,False,fabless_mobile,Smart automobile expansion,False,21.48,35.5,7.63,2.58,2.15,7.6254,0.0045999999999999375,False,12.011173184357542,10.009310986964618,False
2015,Qualcomm,QCOM,USA,country,False,fabless_mobile,Smart automobile expansion,False,27.28,26.5,7.22,3.27,2.73,7.2292000000000005,0.009200000000000763,False,11.986803519061583,10.007331378299119,False
2016,Qualcomm,QCOM,USA,country,False,fabless_mobile,Smart automobile expansion,False,23.97,31.0,7.44,2.88,2.4,7.430699999999999,0.009300000000001418,False,12.015018773466833,10.012515644555695,False
2017,Qualcomm,QCOM,USA,country,False,fabless_mobile,Smart automobile expansion,False,24.72,27.0,6.68,2.97,2.47,6.6743999999999994,0.005600000000000271,False,12.014563106796118,9.991909385113269,False
2018,Qualcomm,QCOM,USA,country,False,fabless_mobile,Smart automobile expansion,False,22.53,32.3,7.29,2.7,2.25,7.277189999999999,0.012810000000000876,False,11.984021304926765,9.986684420772303,False
2019,Qualcomm,QCOM,USA,country,False,fabless_mobile,Smart automobile expansion,False,23.4,28.9,6.76,2.81,2.34,6.762599999999999,0.0025999999999992696,False,12.008547008547009,10.0,False
2020,Qualcomm,QCOM,USA,country,False,fabless_mobile,Smart automobile expansion,False,23.41,25.9,6.06,2.81,2.34,6.06319,0.003190000000000026,False,12.003417343015805,9.995728321230244,False
2021,Qualcomm,QCOM,USA,country,False,fabless_mobile,Smart automobile expansion,False,33.61,29.2,9.81,4.03,3.36,9.814119999999999,0.004119999999998569,False,11.990479024099972,9.997024695031241,False
2022,Qualcomm,QCOM,USA,country,False,fabless_mobile,Transition Year,False,44.51,28.3,12.61,5.34,4.45,12.59633,0.013669999999999405,False,11.997303976634464,9.997753313862054,False
2023,Qualcomm,QCOM,USA,country,False,fabless_mobile,AI expansion,False,36.31,23.0,8.37,4.36,3.63,8.351300000000002,0.018699999999997274,False,12.00771137427706,9.997245937758192,False
2024,Qualcomm,QCOM,USA,country,False,fabless_mobile,AI expansion,False,39.18,31.1,12.17,4.7,3.92,12.184980000000001,0.014980000000001326,False,11.995916283818275,10.005104645227156,False
2025,Qualcomm,QCOM,USA,country,False,fabless_mobile,AI expansion,True,43.07,30.0,12.92,5.17,4.31,12.921,0.0009999999999994458,False,12.003714882749012,10.006965405154398,False
2026,Qualcomm,QCOM,USA,country,False,fabless_mobile,AI expansion,True,45.99,30.9,14.23,5.52,4.6,14.210909999999998,0.01909000000000205,False,12.002609262883233,10.00217438573603,False
2010,Broadcom,AVGO,USA,country,False,fabless_diversified,Smart automobile expansion,False,2.99,36.3,1.09,0.36,0.3,1.0853700000000002,0.004629999999999912,False,12.040133779264213,10.03344481605351,False
2011,Broadcom,AVGO,USA,country,False,fabless_diversified,Smart automobile expansion,False,3.94,31.2,1.23,0.47,0.39,1.22928,0.0007200000000000539,False,11.928934010152284,9.898477157360407,False
2012,Broadcom,AVGO,USA,country,False,fabless_diversified,Smart automobile expansion,False,4.42,26.7,1.18,0.53,0.44,1.18014,0.000140000000000029,False,11.990950226244344,9.95475113122172,False
2013,Broadcom,AVGO,USA,country,False,fabless_diversified,Smart automobile expansion,False,5.47,30.8,1.68,0.66,0.55,1.68476,0.0047600000000000975,False,12.065813528336381,10.054844606946984,False
2014,Broadcom,AVGO,USA,country,False,fabless_diversified,Smart automobile expansion,False,6.13,24.8,1.52,0.74,0.61,1.52024,0.00024000000000001798,False,12.071778140293638,9.9510603588907,False
2015,Broadcom,AVGO,USA,country,False,fabless_diversified,Smart automobile expansion,False,6.99,31.4,2.19,0.84,0.7,2.19486,0.004859999999999864,False,12.017167381974247,10.014306151645206,False
2016,Broadcom,AVGO,USA,country,False,fabless_diversified,Smart automobile expansion,False,11.09,28.6,3.17,1.33,1.11,3.1717400000000002,0.0017400000000002969,False,11.992786293958522,10.009017132551849,False
2017,Broadcom,AVGO,USA,country,False,fabless_diversified,Smart automobile expansion,False,16.26,30.2,4.9,1.95,1.63,4.91052,0.01051999999999964,False,11.99261992619926,10.024600246002459,False
2018,Broadcom,AVGO,USA,country,False,fabless_diversified,Smart automobile expansion,False,20.62,29.7,6.12,2.47,2.06,6.12414,0.0041399999999995885,False,11.97866149369544,9.990300678952472,False
2019,Broadcom,AVGO,USA,country,False,fabless_diversified,Smart automobile expansion,False,22.18,30.5,6.76,2.66,2.22,6.7649,0.0049000000000001265,False,11.992786293958522,10.009017132551849,False
