year,country_iso3,capacity_category,fab_type,reported_monthly_wafer_capacity
2022,USA,Fabrication,logic_mature,309753
2022,USA,Fabrication,memory_DRAM,186849
2023,CHN,Fabrication,logic_leading,0
2023,CHN,Fabrication,logic_mature,164856
2023,CHN,Fabrication,memory_DRAM,116322
2023,CHN,Fabrication,memory_NAND,192066
2023,DEU,Fabrication,logic_mature,99761
2023,DEU,Fabrication,logic_mature_300mm,24000
2023,ITA,Fabrication,logic_mature,57893
2023,JPN,Fabrication,logic_mature,51908
2023,KOR,Fabrication,logic_leading,198935
2023,KOR,Fabrication,logic_mature,144403
2023,KOR,Fabrication,memory_DRAM,1406214
2023,NLD,Fabrication,logic_mature,35950
2023,TWN,Fabrication,logic_leading,352648
2023,TWN,Fabrication,logic_mature,501524
2023,TWN,Fabrication,memory_DRAM,185946
2023,USA,Fabrication,logic_leading,81664
2023,USA,Fabrication,logic_mature,329632
2023,USA,Fabrication,memory_DRAM,279338
2024,CHN,Fabrication,logic_leading,5084
2024,CHN,Fabrication,logic_mature,162206
2024,CHN,Fabrication,memory_DRAM,113739
2024,CHN,Fabrication,memory_NAND,208976
2024,DEU,Fabrication,logic_mature,102388
2024,DEU,Fabrication,logic_mature_300mm,53218
2024,ISR,Fabrication,logic_leading,0
2024,ITA,Fabrication,logic_mature,64068
2024,JPN,Fabrication,logic_mature,45954
2024,KOR,Fabrication,logic_leading,236464
2024,KOR,Fabrication,logic_mature,145852
2024,KOR,Fabrication,memory_DRAM,1365733
2024,NLD,Fabrication,logic_mature,41253
2024,TWN,Fabrication,logic_leading,360707
2024,TWN,Fabrication,logic_mature,517859
2024,TWN,Fabrication,memory_DRAM,196131
2024,USA,Fabrication,logic_leading,107670
2024,USA,Fabrication,logic_mature,300255
2024,USA,Fabrication,memory_DRAM,274623
2025,CHN,Fabrication,logic_leading,15045
2025,CHN,Fabrication,logic_mature,172637
2025,CHN,Fabrication,memory_DRAM,123791
2025,CHN,Fabrication,memory_NAND,196067
2025,DEU,Fabrication,logic_mature,112065
2025,DEU,Fabrication,logic_mature_300mm,92822
2025,ISR,Fabrication,logic_leading,39698
2025,ITA,Fabrication,logic_mature,62014
2025,JPN,Fabrication,logic_mature,108144
2025,KOR,Fabrication,logic_leading,269220
2025,KOR,Fabrication,logic_mature,157324
2025,KOR,Fabrication,memory_DRAM,1465363
2025,NLD,Fabrication,logic_mature,43182
2025,TWN,Fabrication,logic_leading,444829
2025,TWN,Fabrication,logic_mature,506235
2025,TWN,Fabrication,memory_DRAM,228697
2025,USA,Fabrication,logic_leading,226560
2025,USA,Fabrication,logic_mature,344114
2025,USA,Fabrication,memory_DRAM,429721
2026,CHN,Fabrication,logic_leading,15954
2026,CHN,Fabrication,logic_mature,179900
2026,CHN,Fabrication,memory_DRAM,124911
2026,CHN,Fabrication,memory_NAND,223641
2026,DEU,Fabrication,logic_leading,23413
2026,DEU,Fabrication,logic_mature,127459
2026,DEU,Fabrication,logic_mature_300mm,88584
2026,ISR,Fabrication,logic_leading,47022
2026,ITA,Fabrication,logic_mature,59915
2026,JPN,Fabrication,logic_mature,116645
2026,KOR,Fabrication,logic_leading,308401
2026,KOR,Fabrication,logic_mature,152597
2026,KOR,Fabrication,memory_DRAM,1550727
2026,NLD,Fabrication,logic_mature,44685
2026,TWN,Fabrication,logic_leading,450218
2026,TWN,Fabrication,logic_mature,525639
2026,TWN,Fabrication,memory_DRAM,225005
2026,USA,Fabrication,logic_leading,259948
2026,USA,Fabrication,logic_mature,342049
2026,USA,Fabrication,memory_DRAM,515039
2026,USA,Packaging,memory_HBM_packaging,69344
