product,date,currency,unit,price,price_index
DRAM_DDR4_8Gb,2024-02-01,USD,USD/chip,2.08,52.926208651399484
DRAM_DDR4_8Gb,2024-03-01,USD,USD/chip,2.01,51.14503816793893
DRAM_DDR4_8Gb,2024-04-01,USD,USD/chip,2.07,52.67175572519084
DRAM_DDR4_8Gb,2024-05-01,USD,USD/chip,1.96,49.87277353689567
DRAM_DDR4_8Gb,2024-06-01,USD,USD/chip,2.11,53.68956743002544
DRAM_DDR4_8Gb,2024-07-01,USD,USD/chip,2.12,53.9440203562341
DRAM_DDR4_8Gb,2024-08-01,USD,USD/chip,2.04,51.908396946564885
DRAM_DDR4_8Gb,2024-09-01,USD,USD/chip,1.91,48.600508905852415
DRAM_DDR4_8Gb,2024-10-01,USD,USD/chip,2.1,53.43511450381679
DRAM_DDR4_8Gb,2024-11-01,USD,USD/chip,2.03,51.65394402035622
DRAM_DDR4_8Gb,2024-12-01,USD,USD/chip,1.92,48.854961832061065
HBM3_stack,2022-01-01,USD,USD/stack,188.37,100.0
HBM3_stack,2022-02-01,USD,USD/stack,196.24,104.17794765620853
HBM3_stack,2022-03-01,USD,USD/stack,196.26,104.18856505813028
HBM3_stack,2022-04-01,USD,USD/stack,220.01,116.7967298402081
HBM3_stack,2022-05-01,USD,USD/stack,216.4,114.88028879333227
HBM3_stack,2022-06-01,USD,USD/stack,229.54,121.85592185592185
HBM3_stack,2022-07-01,USD,USD/stack,246.1,130.64713064713064
HBM3_stack,2022-08-01,USD,USD/stack,240.22,127.52561448213622
HBM3_stack,2022-09-01,USD,USD/stack,255.61,135.69570526092264
HBM3_stack,2022-10-01,USD,USD/stack,256.74,136.29558846950152
HBM3_stack,2022-11-01,USD,USD/stack,273.9,145.40531931836279
HBM3_stack,2022-12-01,USD,USD/stack,278.45,147.82077825556087
HBM3_stack,2023-01-01,USD,USD/stack,272.36,144.58777937038806
HBM3_stack,2023-02-01,USD,USD/stack,292.39,155.22110739502043
HBM3_stack,2023-03-01,USD,USD/stack,320.45,170.11732229123533
HBM3_stack,2023-04-01,USD,USD/stack,326.82,173.49896480331262
HBM3_stack,2023-05-01,USD,USD/stack,317.39,168.49285979720761
HBM3_stack,2023-06-01,USD,USD/stack,359.3,190.74162552423422
HBM3_stack,2023-07-01,USD,USD/stack,348.56,185.0400806922546
HBM3_stack,2023-08-01,USD,USD/stack,400.51,212.61878218399954
HBM3_stack,2023-09-01,USD,USD/stack,409.42,217.3488347401391
HBM3_stack,2023-10-01,USD,USD/stack,411.76,218.5910707649838
HBM3_stack,2023-11-01,USD,USD/stack,424.15,225.16855125550777
HBM3_stack,2023-12-01,USD,USD/stack,431.89,229.27748579922493
HBM3_stack,2024-01-01,USD,USD/stack,462.38,245.4637150289324
HBM3_stack,2024-02-01,USD,USD/stack,473.52,251.377607899347
HBM3_stack,2024-03-01,USD,USD/stack,514.03,272.88315549185114
HBM3_stack,2024-04-01,USD,USD/stack,558.96,296.735148909062
HBM3_stack,2024-05-01,USD,USD/stack,556.75,295.5619259967086
HBM3_stack,2024-06-01,USD,USD/stack,585.39,310.76604554865423
HBM3_stack,2024-07-01,USD,USD/stack,587.64,311.96050326485107
HBM3_stack,2024-08-01,USD,USD/stack,606.93,322.2009874183787
HBM3_stack,2024-09-01,USD,USD/stack,604.41,320.86319477623823
HBM3_stack,2024-10-01,USD,USD/stack,686.42,364.39985135637306
HBM3_stack,2024-11-01,USD,USD/stack,734.9,390.13643361469445
HBM3_stack,2024-12-01,USD,USD/stack,741.07,393.4119021075543
NAND_64Gb_MLC,2022-01-01,USD,USD/chip,4.81,100.0
NAND_64Gb_MLC,2022-02-01,USD,USD/chip,4.78,99.37629937629939
NAND_64Gb_MLC,2022-03-01,USD,USD/chip,4.59,95.42619542619542
NAND_64Gb_MLC,2022-04-01,USD,USD/chip,4.24,88.14968814968816
NAND_64Gb_MLC,2022-05-01,USD,USD/chip,4.43,92.0997920997921
NAND_64Gb_MLC,2022-06-01,USD,USD/chip,4.34,90.22869022869024
NAND_64Gb_MLC,2022-07-01,USD,USD/chip,4.29,89.1891891891892
NAND_64Gb_MLC,2022-08-01,USD,USD/chip,4.14,86.07068607068608
NAND_64Gb_MLC,2022-09-01,USD,USD/chip,4.08,84.82328482328482
NAND_64Gb_MLC,2022-10-01,USD,USD/chip,4.06,84.4074844074844
NAND_64Gb_MLC,2022-11-01,USD,USD/chip,4.06,84.4074844074844
NAND_64Gb_MLC,2022-12-01,USD,USD/chip,3.86,80.24948024948026
NAND_64Gb_MLC,2023-01-01,USD,USD/chip,3.76,78.17047817047818
NAND_64Gb_MLC,2023-02-01,USD,USD/chip,3.77,78.37837837837839
NAND_64Gb_MLC,2023-03-01,USD,USD/chip,3.43,71.30977130977132
NAND_64Gb_MLC,2023-04-01,USD,USD/chip,3.71,77.13097713097714
NAND_64Gb_MLC,2023-05-01,USD,USD/chip,3.58,74.42827442827443
NAND_64Gb_MLC,2023-06-01,USD,USD/chip,3.53,73.38877338877339
NAND_64Gb_MLC,2023-07-01,USD,USD/chip,3.6,74.84407484407485
NAND_64Gb_MLC,2023-08-01,USD,USD/chip,3.14,65.28066528066529
NAND_64Gb_MLC,2023-09-01,USD,USD/chip,3.28,68.1912681912682
NAND_64Gb_MLC,2023-10-01,USD,USD/chip,3.74,77.75467775467777
NAND_64Gb_MLC,2023-11-01,USD,USD/chip,3.85,80.04158004158005
NAND_64Gb_MLC,2023-12-01,USD,USD/chip,4.03,83.78378378378379
NAND_64Gb_MLC,2024-01-01,USD,USD/chip,4.07,84.61538461538463
NAND_64Gb_MLC,2024-02-01,USD,USD/chip,4.27,88.77338877338877
NAND_64Gb_MLC,2024-03-01,USD,USD/chip,4.32,89.81288981288984
NAND_64Gb_MLC,2024-04-01,USD,USD/chip,4.24,88.14968814968816
NAND_64Gb_MLC,2024-05-01,USD,USD/chip,4.12,85.65488565488566
NAND_64Gb_MLC,2024-06-01,USD,USD/chip,3.84,79.83367983367984
NAND_64Gb_MLC,2024-07-01,USD,USD/chip,4.31,89.6049896049896
NAND_64Gb_MLC,2024-08-01,USD,USD/chip,4.39,91.26819126819127
NAND_64Gb_MLC,2024-09-01,USD,USD/chip,4.3,89.3970893970894
NAND_64Gb_MLC,2024-10-01,USD,USD/chip,4.05,84.1995841995842
NAND_64Gb_MLC,2024-11-01,USD,USD/chip,4.31,89.6049896049896
NAND_64Gb_MLC,2024-12-01,USD,USD/chip,4.35,90.43659043659044
