year,company_name,ticker,country_iso3,geo_code_type,country_code_review_flag,segment,value_chain_group,analysis_period,source_validation_caution,first_observed_year,years_since_first_observation,revenue_usd_bn,operating_margin_pct,operating_income_usd_bn,rd_spend_usd_bn,capex_usd_bn,calculated_operating_income_usd_bn,operating_income_abs_diff_usd_bn,operating_income_review_flag,rd_intensity_pct,capex_intensity_pct,zero_revenue_flag,previous_year,previous_revenue_usd_bn,previous_operating_income_usd_bn,consecutive_year_flag,revenue_growth_pct,absolute_revenue_change_usd_bn,operating_income_growth_pct,rd_to_operating_income_pct,capex_to_operating_income_pct,revenue_share_within_dataset_pct,revenue_rank_within_year,value_chain_revenue_usd_bn,value_chain_revenue_share_pct,growth_calculation_available,investment_ratio_available,recomputed_margin_pct,margin_difference_pp,extreme_flag
2023,ASML,ASML,NLD,country,False,equipment_litho,Equipment,AI expansion,False,2010,13,30.31,35.7,10.81,4.85,1.82,10.82067,0.01067,False,16.0013197,6.004618938,False,2022.0,23.9,7.47,True,26.82008368,6.41,44.71218206,44.86586494,16.83626272,4.632077634,7,104.75,16.00825246,True,True,35.66479709666777,0.03520290333223386,False
2024,ASML,ASML,NLD,country,False,equipment_litho,Equipment,AI expansion,False,2010,14,31.81,33.3,10.58,5.09,1.91,10.59273,0.01273,False,16.00125747,6.004401132,False,2023.0,30.31,10.81,True,4.948861762,1.5,-2.127659574,48.10964083,18.05293006,3.839422578,8,101.83,12.2907388,True,True,33.259981138006914,0.04001886199308302,False
2015,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,5,3.39,44.1,1.49,0.41,0.41,1.49499,0.00499,False,12.09439528,12.09439528,False,2014.0,3.33,1.7,True,1.801801802,0.06,-12.35294118,27.51677852,27.51677852,1.088212635,25,172.79,55.46674371,True,True,43.95280235988201,0.1471976401179944,False
2016,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,6,4.24,41.9,1.78,0.51,0.51,1.77656,0.00344,False,12.02830189,12.02830189,False,2015.0,3.39,1.49,True,25.07374631,0.85,19.46308725,28.65168539,28.65168539,1.148211336,25,211.93,57.39161047,True,True,41.98113207547169,-0.0811320754716931,False
2017,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,7,5.07,42.3,2.15,0.61,0.61,2.14461,0.00539,False,12.03155819,12.03155819,False,2016.0,4.24,1.78,True,19.5754717,0.83,20.78651685,28.37209302,28.37209302,1.17811084,24,247.23,57.44858836,True,True,42.40631163708086,-0.10631163708086433,False
2018,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,8,6.19,46.0,2.85,0.74,0.74,2.8474,0.0026,False,11.95476575,11.95476575,False,2017.0,5.07,2.15,True,22.09072978,1.12,32.55813953,25.96491228,25.96491228,1.299874003,22,274.37,57.61654767,True,True,46.04200323101777,-0.042003231017773146,False
2019,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,9,5.91,42.7,2.52,0.71,0.71,2.52357,0.00357,False,12.01353638,12.01353638,False,2018.0,6.19,2.85,True,-4.523424879,-0.28,-11.57894737,28.17460317,28.17460317,1.193818806,22,273.07,55.16008484,True,True,42.63959390862944,0.06040609137055952,False
2020,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,10,5.75,47.2,2.72,0.69,0.69,2.714,0.006,False,12.0,12.0,False,2019.0,5.91,2.52,True,-2.707275804,-0.16,7.936507937,25.36764706,25.36764706,1.141575175,22,258.64,51.34904405,True,True,47.30434782608696,-0.1043478260869577,False
2021,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Smart automobile expansion,False,2010,11,8.76,43.0,3.77,1.05,1.05,3.7668,0.0032,False,11.98630137,11.98630137,False,2020.0,5.75,2.72,True,52.34782609,3.01,38.60294118,27.85145889,27.85145889,1.452664047,20,285.1,47.2779132,True,True,43.0365296803653,-0.036529680365298134,False
2022,Analog Devices,ADI,USA,country,False,idm_analog,IDM,Transition Year,False,2010,12,12.2,45.6,5.56,1.46,1.46,5.5632,0.0032,False,11.96721311,11.96721311,False,2021.0,8.76,3.77,True,39.26940639,3.44,47.4801061,26.25899281,26.25899281,1.749204255,20,317.07,45.46067158,True,True,45.57377049180328,0.026229508196720985,False
2023,Analog Devices,ADI,USA,country,False,idm_analog,IDM,AI expansion,False,2010,13,11.78,44.8,5.28,1.41,1.41,5.27744,0.00256,False,11.96943973,11.96943973,False,2022.0,12.2,5.56,True,-3.442622951,-0.42,-5.035971223,26.70454545,26.70454545,1.8002598,20,256.74,39.23588294,True,True,44.82173174872666,-0.0217317487266655,False
2024,Analog Devices,ADI,USA,country,False,idm_analog,IDM,AI expansion,False,2010,14,9.47,42.3,4.01,1.14,1.14,4.00581,0.00419,False,12.03801478,12.03801478,False,2023.0,11.78,5.28,True,-19.60950764,-2.31,-24.0530303,28.42892768,28.42892768,1.143015775,21,301.22,36.35683335,True,True,42.344244984160504,-0.04424498416050682,False
2015,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,5,9.41,29.6,2.79,1.13,0.94,2.78536,0.00464,False,12.00850159,9.989373007,False,2014.0,8.91,2.68,True,5.611672278,0.5,4.104477612,40.50179211,33.69175627,3.02067283,8,31.93,10.24974319,True,True,29.64930924548353,-0.049309245483527775,False
2016,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,6,12.27,22.0,2.7,1.47,1.23,2.6994,0.0006,False,11.9804401,10.02444988,False,2015.0,9.41,2.79,True,30.39319872,2.86,-3.225806452,54.44444444,45.55555556,3.322771955,8,40.64,11.00549733,True,True,22.004889975550125,-0.004889975550124603,False
2017,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,7,14.44,34.7,5.01,1.73,1.44,5.01068,0.00068,False,11.98060942,9.972299169,False,2016.0,12.27,2.7,True,17.68541157,2.17,85.55555556,34.53093812,28.74251497,3.355408389,9,50.03,11.62542117,True,True,34.69529085872576,0.00470914127424038,False
2018,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,8,16.14,28.9,4.66,1.94,1.61,4.66446,0.00446,False,12.01982652,9.975216853,False,2017.0,14.44,5.01,True,11.77285319,1.7,-6.986027944,41.63090129,34.54935622,3.389332213,9,57.62,12.099958,True,True,28.872366790582404,0.027633209417594173,False
2019,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,9,16.57,27.3,4.53,1.99,1.66,4.52361,0.00639,False,12.009656,10.01810501,False,2018.0,16.14,4.66,True,2.664188352,0.43,-2.789699571,43.92935982,36.64459161,3.347136653,8,59.07,11.93212807,True,True,27.338563669281836,-0.03856366928183519,False
2020,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,10,17.03,34.3,5.84,2.04,1.7,5.84129,0.00129,False,11.97886083,9.982384028,False,2019.0,16.57,4.53,True,2.776101388,0.46,28.9183223,34.93150685,29.10958904,3.381047867,9,63.11,12.52953205,True,True,34.29242513211979,0.007574867880208558,False
2021,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Smart automobile expansion,False,2010,11,22.72,29.0,6.59,2.73,2.27,6.5888,0.0012,False,12.01584507,9.991197183,False,2020.0,17.03,5.84,True,33.41162654,5.69,12.84246575,41.42640364,34.4461305,3.767640084,8,81.85,13.5731224,True,True,29.005281690140844,-0.00528169014084412,False
2022,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,Transition Year,False,2010,12,27.32,30.1,8.22,3.28,2.73,8.22332,0.00332,False,12.00585652,9.992679356,False,2021.0,22.72,6.59,True,20.24647887,4.6,24.73444613,39.9026764,33.21167883,3.917070513,8,97.26,13.94488573,True,True,30.08784773060029,0.012152269399710036,False
2023,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,AI expansion,False,2010,13,27.93,29.7,8.3,3.35,2.79,8.29521,0.00479,False,11.99427139,9.989258861,False,2022.0,27.32,8.22,True,2.232796486,0.61,0.97323601,40.36144578,33.61445783,4.268357912,8,104.75,16.00825246,True,True,29.7171500179019,-0.017150017901901293,False
2024,Applied Materials,AMAT,USA,country,False,equipment_diversified,Equipment,AI expansion,False,2010,14,27.31,31.1,8.49,3.28,2.73,8.49341,0.00341,False,12.01025265,9.996338338,False,2023.0,27.93,8.3,True,-2.219835303,-0.62,2.289156627,38.63368669,32.15547703,3.296278862,9,101.83,12.2907388,True,True,31.087513731233983,0.012486268766018327,False
2015,Broadcom,AVGO,USA,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,5,6.99,31.4,2.19,0.84,0.7,2.19486,0.00486,False,12.01716738,10.01430615,False,2014.0,6.13,1.52,True,14.02936378,0.86,44.07894737,38.35616438,31.96347032,2.243836672,12,56.49,18.13366718,True,True,31.330472103004293,0.06952789699570516,False
2016,Broadcom,AVGO,USA,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,6,11.09,28.6,3.17,1.33,1.11,3.17174,0.00174,False,11.99278629,10.00901713,False,2015.0,6.99,2.19,True,58.65522175,4.1,44.74885845,41.95583596,35.01577287,3.003222574,9,61.02,16.52449427,True,True,28.584310189359783,0.015689810640218127,False
2017,Broadcom,AVGO,USA,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,7,16.26,30.2,4.9,1.95,1.63,4.91052,0.01052,False,11.99261993,10.02460025,False,2016.0,11.09,3.17,True,46.61857529,5.17,54.57413249,39.79591837,33.26530612,3.778319972,7,71.42,16.59579412,True,True,30.135301353013528,0.06469864698647143,False
2018,Broadcom,AVGO,USA,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,8,20.62,29.7,6.12,2.47,2.06,6.12414,0.00414,False,11.97866149,9.990300679,False,2017.0,16.26,4.9,True,26.81426814,4.36,24.89795918,40.35947712,33.66013072,4.330113398,7,77.11,16.19277614,True,True,29.67992240543162,0.020077594568380874,False
2019,Broadcom,AVGO,USA,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,9,22.18,30.5,6.76,2.66,2.22,6.7649,0.0049,False,11.99278629,10.00901713,False,2018.0,20.62,6.12,True,7.565470417,1.56,10.45751634,39.34911243,32.84023669,4.48035552,7,88.03,17.78204222,True,True,30.47790802524797,0.02209197475202984,False
2020,Broadcom,AVGO,USA,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,10,24.98,22.3,5.57,3.0,2.5,5.57054,0.00054,False,12.00960769,10.00800641,False,2019.0,22.18,6.76,True,12.62398557,2.8,-17.6035503,53.85996409,44.88330341,4.959399631,5,99.9,19.83362783,True,True,22.297838270616495,0.002161729383505673,False
2021,Broadcom,AVGO,USA,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,11,28.35,30.5,8.65,3.4,2.83,8.64675,0.00325,False,11.99294533,9.982363316,False,2020.0,24.98,5.57,True,13.49079263,3.37,55.2962298,39.30635838,32.71676301,4.701258644,6,127.36,21.12001061,True,True,30.511463844797177,-0.011463844797177103,False
2022,Broadcom,AVGO,USA,country,False,fabless_diversified,Fabless,Transition Year,False,2010,12,33.5,28.9,9.68,4.02,3.35,9.6815,0.0015,False,12.0,10.0,False,2021.0,28.35,8.65,True,18.16578483,5.15,11.90751445,41.52892562,34.60743802,4.803142833,6,154.83,22.19912253,True,True,28.895522388059703,0.0044776119402953896,False
2023,Broadcom,AVGO,USA,country,False,fabless_diversified,Fabless,AI expansion,False,2010,13,33.96,31.0,10.52,4.08,3.4,10.5276,0.0076,False,12.01413428,10.01177856,False,2022.0,33.5,9.68,True,1.373134328,0.46,8.67768595,38.78326996,32.31939163,5.18988309,6,177.4,27.11087339,True,True,30.977620730270907,0.02237926972909321,False
2024,Broadcom,AVGO,USA,country,False,fabless_diversified,Fabless,AI expansion,False,2010,14,54.34,25.4,13.8,6.52,5.43,13.80236,0.00236,False,11.99852779,9.99263894,False,2023.0,33.96,10.52,True,60.01177856,20.38,31.17870722,47.24637681,39.34782609,6.558762115,5,284.01,34.27961038,True,True,25.395656974604343,0.004343025395655786,False
2015,Cadence,CDNS,USA,country,False,eda_software,EDA Software,Smart automobile expansion,False,2010,5,1.76,40.6,0.72,0.62,0.02,0.71456,0.00544,False,35.22727273,1.136363636,False,2014.0,1.55,0.67,True,13.5483871,0.21,7.462686567,86.11111111,2.777777778,0.564971751,32,4.01,1.287236775,True,True,40.90909090909091,-0.3090909090909051,False
2016,Cadence,CDNS,USA,country,False,eda_software,EDA Software,Smart automobile expansion,False,2010,6,1.81,41.5,0.75,0.63,0.02,0.75115,0.00115,False,34.80662983,1.104972376,False,2015.0,1.76,0.72,True,2.840909091,0.05,4.166666667,84.0,2.666666667,0.490156254,32,4.32,1.169875701,True,True,41.43646408839779,0.06353591160220873,False
2017,Cadence,CDNS,USA,country,False,eda_software,EDA Software,Smart automobile expansion,False,2010,7,1.94,40.0,0.77,0.68,0.02,0.776,0.006,False,35.05154639,1.030927835,False,2016.0,1.81,0.75,True,7.182320442,0.13,2.666666667,88.31168831,2.597402597,0.450795864,32,4.74,1.101429069,True,True,39.69072164948454,0.3092783505154628,False
2018,Cadence,CDNS,USA,country,False,eda_software,EDA Software,Smart automobile expansion,False,2010,8,2.16,38.3,0.83,0.76,0.02,0.82728,0.00272,False,35.18518519,0.925925926,False,2017.0,1.94,0.77,True,11.34020619,0.22,7.792207792,91.56626506,2.409638554,0.453590928,31,5.22,1.096178076,True,True,38.42592592592592,-0.12592592592591956,False
2019,Cadence,CDNS,USA,country,False,eda_software,EDA Software,Smart automobile expansion,False,2010,9,2.46,42.0,1.03,0.86,0.02,1.0332,0.0032,False,34.95934959,0.81300813,False,2018.0,2.16,0.83,True,13.88888889,0.3,24.09638554,83.49514563,1.941747573,0.496919503,32,5.86,1.183718816,True,True,41.86991869918699,0.13008130081301061,False
2020,Cadence,CDNS,USA,country,False,eda_software,EDA Software,Smart automobile expansion,False,2010,10,2.62,42.9,1.13,0.92,0.03,1.12398,0.00602,False,35.11450382,1.145038168,False,2019.0,2.46,1.03,True,6.504065041,0.16,9.708737864,81.4159292,2.654867257,0.52016121,31,6.4,1.270622804,True,True,43.1297709923664,-0.22977099236640441,False
2021,Cadence,CDNS,USA,country,False,eda_software,EDA Software,Smart automobile expansion,False,2010,11,3.22,40.3,1.3,1.13,0.03,1.29766,0.00234,False,35.0931677,0.931677019,False,2020.0,2.62,1.13,True,22.90076336,0.6,15.04424779,86.92307692,2.307692308,0.533970118,31,7.67,1.271910187,True,True,40.37267080745342,-0.07267080745342014,False
2022,Cadence,CDNS,USA,country,False,eda_software,EDA Software,Transition Year,False,2010,12,3.52,37.4,1.32,1.23,0.04,1.31648,0.00352,False,34.94318182,1.136363636,False,2021.0,3.22,1.3,True,9.316770186,0.3,1.538461538,93.18181818,3.03030303,0.504688441,31,8.34,1.195767499,True,True,37.5,-0.10000000000000142,False
2023,Cadence,CDNS,USA,country,False,eda_software,EDA Software,AI expansion,False,2010,13,4.03,41.6,1.68,1.41,0.04,1.67648,0.00352,False,34.98759305,0.992555831,False,2022.0,3.52,1.32,True,14.48863636,0.51,27.27272727,83.92857143,2.380952381,0.615878353,33,9.74,1.488500038,True,True,41.68734491315136,-0.08734491315135529,False
2024,Cadence,CDNS,USA,country,False,eda_software,EDA Software,AI expansion,False,2010,14,4.47,41.3,1.85,1.56,0.04,1.84611,0.00389,False,34.89932886,0.894854586,False,2023.0,4.03,1.68,True,10.91811414,0.44,10.11904762,84.32432432,2.162162162,0.539522758,32,10.38,1.252851505,True,True,41.38702460850112,-0.08702460850112459,False
2021,Cerebras Systems,CRBR,USA,country,False,fabless_ai,Fabless,Smart automobile expansion,False,2019,2,0.1,7.4,0.01,0.05,0.0,0.0074,0.0026,False,50.0,0.0,False,2020.0,0.0,0.0,True,,0.1,,500.0,0.0,0.016582923,36,127.36,21.12001061,False,True,10.0,-2.5999999999999996,False
2022,Cerebras Systems,CRBR,USA,country,False,fabless_ai,Fabless,Transition Year,False,2019,3,0.22,15.4,0.03,0.11,0.0,0.03388,0.00388,False,50.0,0.0,False,2021.0,0.1,0.01,True,120.0,0.12,200.0,366.6666667,0.0,0.031543028,35,154.83,22.19912253,True,True,13.636363636363635,1.7636363636363654,False
2023,Cerebras Systems,CRBR,USA,country,False,fabless_ai,Fabless,AI expansion,False,2019,4,0.3,8.9,0.03,0.15,0.0,0.0267,0.0033,False,50.0,0.0,False,2022.0,0.22,0.03,True,36.36363636,0.08,0.0,500.0,0.0,0.045847024,35,177.4,27.11087339,True,True,10.0,-1.0999999999999996,False
2024,Cerebras Systems,CRBR,USA,country,False,fabless_ai,Fabless,AI expansion,False,2019,5,0.77,4.3,0.03,0.39,0.01,0.03311,0.00311,False,50.64935065,1.298701299,False,2023.0,0.3,0.03,True,156.6666667,0.47,0.0,1300.0,33.33333333,0.092937925,36,284.01,34.27961038,True,True,3.896103896103896,0.40389610389610375,False
2018,ChangXin Memory (CXMT),CXMT,CHN,country,False,idm_memory,IDM,Smart automobile expansion,False,2018,0,0.31,33.4,0.1,0.03,0.11,0.10354,0.00354,False,9.677419355,35.48387097,False,,,,False,,,,30.0,110.0,0.065098698,33,274.37,57.61654767,False,True,32.25806451612904,1.1419354838709594,False
2019,ChangXin Memory (CXMT),CXMT,CHN,country,False,idm_memory,IDM,Smart automobile expansion,False,2018,1,0.94,34.9,0.33,0.09,0.33,0.32806,0.00194,False,9.574468085,35.10638298,False,2018.0,0.31,0.1,True,203.2258065,0.63,230.0,27.27272727,100.0,0.18987981,33,273.07,55.16008484,True,True,35.10638297872341,-0.20638297872341127,False
2020,ChangXin Memory (CXMT),CXMT,CHN,country,False,idm_memory,IDM,Smart automobile expansion,False,2018,2,1.45,38.3,0.55,0.14,0.51,0.55535,0.00535,False,9.655172414,35.17241379,False,2019.0,0.94,0.33,True,54.25531915,0.51,66.66666667,25.45454545,92.72727273,0.287875479,32,258.64,51.34904405,True,True,37.931034482758626,0.36896551724137083,False
2021,ChangXin Memory (CXMT),CXMT,CHN,country,False,idm_memory,IDM,Smart automobile expansion,False,2018,3,2.26,40.2,0.91,0.23,0.79,0.90852,0.00148,False,10.17699115,34.95575221,False,2020.0,1.45,0.55,True,55.86206897,0.81,65.45454545,25.27472527,86.81318681,0.374774058,33,285.1,47.2779132,True,True,40.26548672566372,-0.0654867256637175,False
2022,ChangXin Memory (CXMT),CXMT,CHN,country,False,idm_memory,IDM,Transition Year,False,2018,4,3.1,37.6,1.17,0.31,1.09,1.1656,0.0044,False,10.0,35.16129032,False,2021.0,2.26,0.91,True,37.16814159,0.84,28.57142857,26.4957265,93.16239316,0.444469934,32,317.07,45.46067158,True,True,37.74193548387096,-0.14193548387095944,False
2023,ChangXin Memory (CXMT),CXMT,CHN,country,False,idm_memory,IDM,AI expansion,False,2018,5,4.04,22.2,0.9,0.4,1.41,0.89688,0.00312,False,9.900990099,34.9009901,False,2022.0,3.1,1.17,True,30.32258065,0.94,-23.07692308,44.44444444,156.6666667,0.617406587,32,256.74,39.23588294,True,True,22.277227722772277,-0.07722772277227818,False
2024,ChangXin Memory (CXMT),CXMT,CHN,country,False,idm_memory,IDM,AI expansion,False,2018,6,5.07,30.0,1.52,0.51,1.77,1.521,0.001,False,10.0591716,34.9112426,False,2023.0,4.04,0.9,True,25.4950495,1.03,68.88888889,33.55263158,116.4473684,0.61194192,31,301.22,36.35683335,True,True,29.980276134122285,0.01972386587771524,False
2015,GlobalFoundries,GFS,USA,country,False,foundry,Foundry,Smart automobile expansion,False,2010,5,5.09,39.1,1.99,0.41,2.29,1.99019,0.00019,False,8.055009823,44.99017682,False,2014.0,4.64,1.88,True,9.698275862,0.45,5.85106383,20.60301508,115.0753769,1.633923986,20,46.3,14.86260914,True,True,39.09626719056975,0.0037328094302537806,False
2016,GlobalFoundries,GFS,USA,country,False,foundry,Foundry,Smart automobile expansion,False,2010,6,5.47,38.0,2.08,0.44,2.46,2.0786,0.0014,False,8.043875686,44.9725777,False,2015.0,5.09,1.99,True,7.465618861,0.38,4.522613065,21.15384615,118.2692308,1.481300945,20,51.36,13.90852222,True,True,38.0255941499086,-0.025594149908599206,False
